rule_id,rule_family,base_rule_id,flip_policy,close_reason_bucket,event_count,adr,loss_adr,win_count,loss_count,median_event_adr,worst_event_adr,average_age_hours,content_hash
WEEKLY_FORCED_CLOSE,control,,current_forced_flip_close,weekly_close,10444,638.115405,-5409.48869,5322,5120,0.033368,-8.320839,110.836359,9935406DE48798166D231C8D6828A41C4FC543155FC253B7CC40C1F32D532BC2
CARRY_UNTIL_FLIP,control,,current_forced_flip_close,candidate_b_flip_close,902,694.688146,-963.436728,502,400,0.294797,-21.63951,1833.476718,63B3042C51659CAAE12888F25805743441CE081148DCBBF36362A8EE17F604F7
CARRY_UNTIL_FLIP,control,,current_forced_flip_close,data_end_open_inventory,28,-97.1683,-116.965791,8,20,-0.638608,-35.838472,3542.857143,28C70123FA21CB3DBCC98ECF208151BFEFA9A4CDBE28683CFBA28C57F5095751
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,target_reset_close,28300,24983.633059,0,28300,0,0.782799,0,55.062488,01500B45AC41ECD6597155C573B8E536261573EE10DA884AE67B204F36D0F7B4
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,candidate_b_flip_close,902,-10602.320445,-10815.950986,286,616,-0.7546,-1317.346336,193.844623,F2899376C0621D7846DD31BD3AAFB7DD75FAF641AAA0221F2225308409A32D85
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,data_end_open_inventory,28,-4480.156606,-4481.135481,4,24,-3.062041,-3099.046979,709.991071,4F6227CFDC02C888EF6B3E79E8AF13D89D81731FEEA7B733087153B0B18FBFF0
PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP,pair_directional_two_sided_grid,,current_forced_flip_close,target_reset_close,18703,32434.879613,0,18703,0,1.566357,0,80.81217,23C1D554F34215C96916CDD2B22209971BCB8DEA78E7EDB95D77C9ADC804A8A7
PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP,pair_directional_two_sided_grid,,current_forced_flip_close,candidate_b_flip_close,902,-14422.455899,-14668.815258,223,679,-1.912746,-1335.319119,241.977568,36668498B1FDE1FB2DBAB28C1A38D14D03ADF7A289431966E7B85A1F387894B8
PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP,pair_directional_two_sided_grid,,current_forced_flip_close,data_end_open_inventory,28,-5716.628824,-5718.248238,4,24,-5.981555,-3088.881635,832.222024,BB8E5DC4908E28C7687D128FAC4F17B6A8C72971203DDDB2955DF92948FB42A3
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,target_reset_close,8590,7722.972214,0,8590,0,0.792461,0,67.898855,C4B943BB00495E72E0B5A1B8B4E416F6DB92C6CB5B1E1BF234E12A121B4D7C97
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,terminal_reset_limit_close,7685,6557.212511,0,7685,0,0.791236,0,19.822462,F2BAF84DED9829C8BC6A6B8E700FCA810E29D022DECA20C418EDEB9DB949F8D1
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,candidate_b_flip_close,170,-3761.400644,-3789.579526,15,155,-8.926051,-357.793296,305.370882,1DC83B117C6C7656BCAE1E5ECB6B215BEB3630C9C9C427DFF4F0CA5A6EA77EA6
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,data_end_open_inventory,11,-381.236523,-381.236523,0,11,-18.95205,-146.633187,520.063636,1D8A95529034CF2095FC5F969F779F5DE214D0CF6F5A43D3C83DDF8E5ADF2BDA
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,target_reset_close,15493,13841.079814,0,15493,0,0.793572,0,56.743212,65A85B41117FFA297D6DC3A626760C9A68FEE0C77378ED612F32F28664F915F2
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,terminal_reset_limit_close,6165,5272.805365,0,6165,0,0.791059,0,17.354839,A98D4C882484ED2F4F0DF9E632714BD8CA691B88561D0F456CD38099D51C41A5
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,candidate_b_flip_close,311,-5091.937646,-5132.272395,43,268,-5.320013,-357.793296,239.572026,7E7F89FC26055F5738B6BA5267CA82091E6FD9E09E1648414D3DF857129CB51C
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,data_end_open_inventory,13,-2308.220032,-2308.284089,1,12,-17.235202,-2073.550175,745.032051,D67FFDB0A658F20805B8BAB30CBF613B41BA950C6A40BD932819A4DF2A14644A
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,target_reset_close,14297,16658.181016,0,14297,0,1.047997,0,71.353223,A6A348692A415B7FD711DD8952E33B9110F91E5A4AB0426F43F91A64BDA5CC1C
