variant_id,week_open_utc,pairs_replayed,closed_price_pnl_usd,realized_commission_usd,realized_swap_usd,realized_net_usd,open_price_pnl_usd,open_swap_usd,equity_usd,balance_usd,equity_delta_usd,open_positions,long_positions,short_positions,fills_opened,target_reset_count,max_open_positions_to_date,max_long_positions_to_date,max_short_positions_to_date,max_add_depth_to_date,position_days_closed_to_date,content_hash
RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_CANDIDATE_B_EXTENSION,2019-04-14T23:00:00.000Z,28,-1.749139,-10.08,-0.977792,-12.806931,0,0,9987.193069,9987.193069,-12.806931,0,0,0,168,74,6,4,6,5,27.509722,3975CEACC8D019C23F30E9FE4E69896384FA0E42DE6F6E0BE46D62C808556D17
RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_CANDIDATE_B_EXTENSION,2019-04-21T23:00:00.000Z,28,10.110984,-32.34,-3.678662,-25.907678,-0.899487,-0.142306,9973.050529,9974.092322,-14.14254,7,4,3,539,313,13,10,9,5,64.556944,8B816468A8547FB1157A217029C0027B9E8542DFDFE8A78B01E5BD0BF8D12E14
RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_CANDIDATE_B_EXTENSION,2019-04-28T23:00:00.000Z,28,55.746369,-47.22,-5.669606,2.856763,-20.620361,-0.163187,9982.073215,10002.856763,9.022686,22,12,10,787,481,27,16,13,5,102.232639,8F0F39A8A0D92266F6E5C30C604B1CC3A7F5B0B08D9FBF6D994BFD9B2858B394
RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_CANDIDATE_B_EXTENSION,2019-05-05T23:00:00.000Z,28,163.902297,-95.4,-9.2775,59.224797,-0.067063,-0.003857,10059.153877,10059.224797,77.080662,2,1,1,1590,1198,30,20,18,8,181.046528,9E34BE391F8FAD7220C65656A76896F3FA3CB518669148C300C2531A26F1CED9
RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_CANDIDATE_B_EXTENSION,2019-05-12T23:00:00.000Z,28,184.488564,-102.36,-10.424683,71.703881,-6.070689,-0.067914,10065.565278,10071.703881,6.411401,7,5,2,1706,1246,30,20,18,8,207.260417,C8B4D1F45EC240F471AA938C87A50DBC91C5A59EB7D81E889789F4D6D338E17A
RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_CANDIDATE_B_EXTENSION,2019-05-19T23:00:00.000Z,28,216.948376,-117.06,-12.733242,87.155134,-3.21794,0.002358,10083.939552,10087.155134,18.374274,9,1,8,1951,1414,30,20,18,8,248.670833,9A8B36FD513B05503184A0E1E9424C5E136E007A29042238C3A5FBB47AEB3363
RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_CANDIDATE_B_EXTENSION,2019-05-26T23:00:00.000Z,28,281.856768,-131.64,-14.138374,136.078394,-10.043224,-0.00229,10126.03288,10136.078394,42.093328,12,9,3,2194,1565,30,20,18,8,296.690972,CB6F69E9C25222272A207CD5F20AF19703BCD0144F669ED2917A758D4BF9DFA3
RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_CANDIDATE_B_EXTENSION,2019-06-02T23:00:00.000Z,28,427.535864,-156.72,-17.383076,253.432788,-2.080724,-0.053021,10251.299043,10253.432788,125.266163,10,7,3,2612,1884,30,20,18,8,352.622222,1E625131B07DA1B0BB4FF4B259F93C674A1CF0125ABF0F9EB7995187279948F7
RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_CANDIDATE_B_EXTENSION,2019-06-09T23:00:00.000Z,28,462.745634,-166.5,-20.031283,276.214351,-19.708187,-0.186988,10256.319176,10276.214351,5.020133,16,15,1,2775,1991,30,20,18,8,393.2125,27838377D673262DF612BD5B5EE55B21B56B4BD32B7BE20D7DB915E702153975
RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_CANDIDATE_B_EXTENSION,2019-06-16T23:00:00.000Z,28,508.433298,-195.6,-25.831573,287.001725,-3.66284,-0.004931,10283.333954,10287.001725,27.014778,7,1,6,3260,2352,30,20,18,8,470.265972,F3F0E6274E1F2297D96235BEAB0C4F4D6E499AFDFBA28B6B15474F36B5EE3909
RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_CANDIDATE_B_EXTENSION,2019-06-23T23:00:00.000Z,28,525.806939,-214.08,-27.239188,284.487751,-3.875106,-0.013473,10280.599172,10284.487751,-2.734782,8,3,5,3568,2565,30,20,18,8,519.782639,4FE2CFC59CC7A86FDCDBD1E9786A49E4440008845DF24DF6251D55037B82C5AC
