basket_id,symbol,side,entry_time,exit_time,david_mode,david_direction_at_entry,entry_adr,fills,avg_entry,exit_price,entry_modeled_price,entry_actual_price,entry_accounting_price,last_fill_modeled_price,last_fill_actual_price,last_fill_accounting_price,exit_modeled_price,exit_actual_price,exit_accounting_price,execution_price_mode,net_adr,mae_adr,mfe_adr,duration_minutes,close_reason
1,EURCHF.i,LONG,2026.02.03 14:20:00,2026.02.04 02:32:00,OFF,UNKNOWN,0.00514,6,0.91647,0.91698,0.91766,0.91772,0.91772,0.91515,0.91518,0.91518,0.91698,0.91695,0.91698,MT5_ORDER_FILL,0.600000,-1.860420,0.624028,732.00,tp
2,EURCHF.i,LONG,2026.02.16 00:27:00,2026.02.16 11:56:00,OFF,UNKNOWN,0.00444,7,0.91243,0.91287,0.91138,0.91327,0.91327,0.91060,0.91205,0.91205,0.91287,0.91290,0.91287,MT5_ORDER_FILL,0.700000,-2.851035,0.758326,689.00,tp
3,EURCHF.i,LONG,2026.02.24 00:52:00,2026.02.24 03:24:00,OFF,UNKNOWN,0.00368,3,0.91333,0.91369,0.91289,0.91322,0.91322,0.91248,0.91328,0.91328,0.91369,0.91368,0.91369,MT5_ORDER_FILL,0.300000,-0.570652,0.312500,152.00,tp
4,EURCHF.i,LONG,2026.02.25 00:21:00,2026.02.25 08:45:00,OFF,UNKNOWN,0.00355,3,0.91152,0.91188,0.91123,0.91136,0.91136,0.91065,0.91153,0.91153,0.91188,0.91190,0.91188,MT5_ORDER_FILL,0.300000,-0.678109,0.326393,504.00,tp
5,EURCHF.i,LONG,2026.03.06 12:31:00,2026.03.09 18:56:00,OFF,UNKNOWN,0.00458,16,0.90187,0.90232,0.90500,0.90506,0.90506,0.89819,0.89811,0.89811,0.90232,0.90230,0.90232,MT5_ORDER_FILL,1.600000,-13.331878,1.724891,4705.00,tp
6,EURCHF.i,SHORT,2026.03.13 00:10:00,2026.03.13 10:30:00,OFF,UNKNOWN,0.00535,3,0.90428,0.90374,0.90393,0.90393,0.90393,0.90500,0.90446,0.90446,0.90374,0.90373,0.90374,MT5_ORDER_FILL,0.300000,-0.674640,0.345730,620.00,tp
7,EURCHF.i,SHORT,2026.03.18 14:26:00,2026.03.18 15:21:00,OFF,UNKNOWN,0.00399,1,0.90715,0.90675,0.90716,0.90715,0.90715,0.90716,0.90715,0.90715,0.90675,0.90684,0.90675,MT5_ORDER_FILL,0.100000,-0.070246,0.107878,55.00,tp
8,EURCHF.i,LONG,2026.03.20 13:33:00,2026.03.20 13:44:00,OFF,UNKNOWN,0.00461,1,0.91042,0.91088,0.91037,0.91042,0.91042,0.91037,0.91042,0.91042,0.91088,0.91090,0.91088,MT5_ORDER_FILL,0.100000,-0.045563,0.104144,11.00,tp
9,EURCHF.i,LONG,2026.03.20 16:42:00,2026.03.20 17:04:00,OFF,UNKNOWN,0.00461,1,0.91030,0.91076,0.91025,0.91030,0.91030,0.91025,0.91030,0.91030,0.91076,0.91080,0.91076,MT5_ORDER_FILL,0.100000,-0.073769,0.119332,22.00,tp
10,EURCHF.i,LONG,2026.03.31 01:01:00,2026.03.31 09:34:00,OFF,UNKNOWN,0.00445,3,0.91647,0.91691,0.91620,0.91671,0.91671,0.91582,0.91580,0.91580,0.91691,0.91697,0.91691,MT5_ORDER_FILL,0.300000,-0.489558,0.339097,513.00,tp
11,EURCHF.i,SHORT,2026.04.16 00:15:00,2026.04.16 00:21:00,OFF,UNKNOWN,0.00386,1,0.92248,0.92209,0.92248,0.92248,0.92248,0.92248,0.92248,0.92248,0.92209,0.92363,0.92209,MT5_ORDER_FILL,0.100000,-0.098420,0.134680,6.00,tp
12,EURCHF.i,SHORT,2026.04.16 13:58:00,2026.04.16 14:44:00,OFF,UNKNOWN,0.00386,1,0.92335,0.92296,0.92335,0.92335,0.92335,0.92335,0.92335,0.92335,0.92296,0.92301,0.92296,MT5_ORDER_FILL,0.100000,-0.041440,0.106190,46.00,tp
13,EURCHF.i,SHORT,2026.04.24 11:11:00,2026.04.24 12:14:00,OFF,UNKNOWN,0.00327,2,0.91916,0.91883,0.91902,0.91901,0.91901,0.91934,0.91930,0.91930,0.91883,0.91892,0.91883,MT5_ORDER_FILL,0.200000,-0.103912,0.204768,63.00,tp
14,EURCHF.i,SHORT,2026.05.12 03:06:00,2026.05.12 08:56:00,OFF,UNKNOWN,0.00346,2,0.91672,0.91637,0.91654,0.91654,0.91654,0.91689,0.91689,0.91689,0.91637,0.91644,0.91637,MT5_ORDER_FILL,0.200000,-0.158776,0.343533,350.00,tp
15,EURCHF.i,LONG,2026.05.22 01:10:00,2026.05.26 09:33:00,OFF,UNKNOWN,0.00231,19,0.91188,0.91211,0.91377,0.91393,0.91393,0.90977,0.90980,0.90980,0.91211,0.91218,0.91211,MT5_ORDER_FILL,1.900000,-18.391699,2.883701,6263.00,tp
16,EURCHF.i,LONG,2026.06.05 01:00:00,2026.06.05 11:10:00,OFF,UNKNOWN,0.00354,4,0.91640,0.91675,0.91627,0.91682,0.91682,0.91576,0.91578,0.91578,0.91675,0.91677,0.91675,MT5_ORDER_FILL,0.400000,-0.788804,0.458015,610.00,tp
