basket_id,symbol,side,entry_time,exit_time,david_mode,david_direction_at_entry,entry_adr,fills,avg_entry,exit_price,entry_modeled_price,entry_actual_price,entry_accounting_price,last_fill_modeled_price,last_fill_actual_price,last_fill_accounting_price,exit_modeled_price,exit_actual_price,exit_accounting_price,execution_price_mode,net_adr,mae_adr,mfe_adr,duration_minutes,close_reason
13,CHFJPY.i,SHORT,2026.02.25 17:21:00,2026.02.25 17:45:00,OFF,UNKNOWN,1.703,1,202.347,202.177,202.359,202.347,202.347,202.359,202.347,202.347,202.177,202.201,202.177,MT5_ORDER_FILL,0.100000,-0.034058,0.108632,24.00,tp
14,CHFJPY.i,SHORT,2026.03.05 15:29:00,2026.03.05 17:19:00,OFF,UNKNOWN,1.630,2,201.907,201.745,201.828,201.825,201.825,201.988,201.990,201.990,201.745,201.780,201.745,MT5_ORDER_FILL,0.200000,-0.261995,0.208001,110.00,tp
15,CHFJPY.i,SHORT,2026.03.10 17:07:00,2026.03.10 19:15:00,OFF,UNKNOWN,1.738,1,203.318,203.144,203.315,203.318,203.318,203.315,203.318,203.318,203.144,203.148,203.144,MT5_ORDER_FILL,0.100000,-0.059835,0.113917,128.00,tp
16,CHFJPY.i,SHORT,2026.03.11 07:48:00,2026.03.11 09:26:00,OFF,UNKNOWN,1.608,1,203.513,203.352,203.513,203.513,203.513,203.513,203.513,203.513,203.352,203.381,203.352,MT5_ORDER_FILL,0.100000,-0.016165,0.101343,98.00,tp
17,CHFJPY.i,LONG,2026.03.16 01:10:00,2026.03.16 05:29:00,OFF,UNKNOWN,1.429,2,202.017,202.160,201.966,202.020,202.020,201.877,202.014,202.014,202.160,202.158,202.160,MT5_ORDER_FILL,0.200000,-0.295270,0.211307,259.00,tp
18,CHFJPY.i,LONG,2026.03.23 14:05:00,2026.03.23 14:06:00,OFF,UNKNOWN,1.361,1,201.454,201.590,201.420,201.454,201.454,201.420,201.454,201.454,201.590,201.539,201.590,MT5_ORDER_FILL,0.100000,-0.030136,0.191106,1.00,tp
19,CHFJPY.i,LONG,2026.03.23 14:15:00,2026.03.23 14:33:00,OFF,UNKNOWN,1.361,3,201.157,201.293,201.261,201.282,201.282,201.010,201.043,201.043,201.293,201.250,201.293,MT5_ORDER_FILL,0.300000,-0.573319,0.348401,18.00,tp
20,CHFJPY.i,SHORT,2026.04.01 10:50:00,2026.04.01 17:02:00,OFF,UNKNOWN,1.524,6,199.858,199.706,199.460,199.460,199.460,200.222,200.219,200.219,199.706,199.889,199.706,MT5_ORDER_FILL,0.600000,-1.563505,0.622251,372.00,tp
21,CHFJPY.i,SHORT,2026.04.09 11:48:00,2026.04.09 21:15:00,OFF,UNKNOWN,1.315,6,201.292,201.160,200.953,200.957,200.957,201.614,201.627,201.627,201.160,201.192,201.160,MT5_ORDER_FILL,0.600000,-1.686445,0.600183,567.00,tp
22,CHFJPY.i,SHORT,2026.04.10 15:37:00,2026.04.10 17:50:00,OFF,UNKNOWN,1.413,6,202.131,201.990,201.775,201.775,201.775,202.482,202.469,202.469,201.990,202.006,201.990,MT5_ORDER_FILL,0.600000,-1.807954,0.607840,133.00,tp
23,CHFJPY.i,SHORT,2026.04.10 17:56:00,2026.04.13 00:09:00,OFF,UNKNOWN,1.413,3,201.713,201.572,201.614,201.612,201.612,201.895,201.902,201.902,201.572,202.013,201.572,MT5_ORDER_FILL,0.300000,-0.551231,0.404048,3253.00,tp
24,CHFJPY.i,SHORT,2026.04.13 14:36:00,2026.04.16 13:05:00,OFF,UNKNOWN,1.497,12,202.971,202.821,202.140,202.139,202.139,203.785,203.835,203.835,202.821,202.841,202.821,MT5_ORDER_FILL,1.200000,-7.389242,1.254928,4229.00,tp
25,CHFJPY.i,LONG,2026.04.16 13:58:00,2026.04.16 15:20:00,OFF,UNKNOWN,1.213,1,202.869,202.990,202.854,202.869,202.869,202.854,202.869,202.869,202.990,202.989,202.990,MT5_ORDER_FILL,0.100000,-0.069261,0.108839,82.00,tp
26,CHFJPY.i,SHORT,2026.04.30 10:56:00,2026.04.30 10:57:00,OFF,UNKNOWN,0.992,1,202.807,202.708,202.834,202.807,202.807,202.834,202.807,202.807,202.708,202.642,202.708,MT5_ORDER_FILL,0.100000,-0.005040,0.525149,1.00,tp
27,CHFJPY.i,SHORT,2026.05.05 16:59:00,2026.05.06 00:26:00,OFF,UNKNOWN,1.522,3,201.530,201.378,201.407,201.367,201.367,201.671,201.712,201.712,201.378,201.715,201.378,MT5_ORDER_FILL,0.300000,-0.515667,0.451948,447.00,tp
28,CHFJPY.i,SHORT,2026.05.11 17:04:00,2026.05.12 00:09:00,OFF,UNKNOWN,1.850,1,201.953,201.768,201.953,201.953,201.953,201.953,201.953,201.953,201.768,202.224,201.768,MT5_ORDER_FILL,0.100000,-0.096762,0.103789,425.00,tp
29,CHFJPY.i,SHORT,2026.05.22 16:48:00,2026.05.22 17:00:00,OFF,UNKNOWN,0.981,1,202.463,202.365,202.463,202.463,202.463,202.463,202.463,202.463,202.365,202.341,202.365,MT5_ORDER_FILL,0.100000,-0.027526,0.136609,12.00,tp
30,CHFJPY.i,SHORT,2026.06.02 10:06:00,2026.06.02 10:28:00,OFF,UNKNOWN,1.082,1,203.498,203.390,203.498,203.498,203.498,203.498,203.498,203.498,203.390,203.385,203.390,MT5_ORDER_FILL,0.100000,-0.032336,0.125647,22.00,tp
31,CHFJPY.i,LONG,2026.06.10 03:58:00,2026.06.10 08:35:00,OFF,UNKNOWN,1.239,2,200.710,200.834,200.759,200.775,200.775,200.651,200.645,200.645,200.834,200.878,200.834,MT5_ORDER_FILL,0.200000,-0.227603,0.272801,277.00,tp
32,CHFJPY.i,LONG,2026.06.11 20:29:00,2026.06.11 20:32:00,OFF,UNKNOWN,1.246,1,200.592,200.717,200.570,200.592,200.592,200.570,200.592,200.592,200.717,200.754,200.717,MT5_ORDER_FILL,0.100000,-0.018461,0.133237,3.00,tp
33,CHFJPY.i,LONG,2026.06.19 09:22:00,2026.06.19 10:07:00,OFF,UNKNOWN,1.257,2,199.905,200.030,199.935,199.949,199.949,199.823,199.860,199.860,200.030,200.042,200.030,MT5_ORDER_FILL,0.200000,-0.148720,0.225068,45.00,tp
34,CHFJPY.i,LONG,2026.06.24 14:44:00,2026.06.24 16:30:00,OFF,UNKNOWN,1.141,4,198.903,199.017,199.070,199.081,199.081,198.739,198.747,198.747,199.017,199.030,199.017,MT5_ORDER_FILL,0.400000,-0.691317,0.538859,106.00,tp
35,CHFJPY.i,SHORT,2026.06.25 19:45:00,2026.06.26 00:04:00,OFF,UNKNOWN,1.159,2,199.726,199.611,199.672,199.674,199.674,199.790,199.779,199.779,199.611,199.857,199.611,MT5_ORDER_FILL,0.200000,-0.233883,0.263226,259.00,tp
36,CHFJPY.i,SHORT,2026.07.03 09:33:00,2026.07.03 09:34:00,OFF,UNKNOWN,1.072,1,200.676,200.569,200.678,200.676,200.676,200.678,200.676,200.676,200.569,200.485,200.569,MT5_ORDER_FILL,0.100000,-0.004663,0.352513,1.00,tp
