basket_id,symbol,side,entry_time,exit_time,david_mode,david_direction_at_entry,entry_adr,fills,avg_entry,exit_price,entry_modeled_price,entry_actual_price,entry_accounting_price,last_fill_modeled_price,last_fill_actual_price,last_fill_accounting_price,exit_modeled_price,exit_actual_price,exit_accounting_price,execution_price_mode,net_adr,mae_adr,mfe_adr,duration_minutes,close_reason
14,EURJPY.i,SHORT,2026.04.09 10:32:00,2026.04.17 17:38:00,OFF,UNKNOWN,0.894,30,186.595,186.505,185.291,185.291,185.291,187.884,187.880,187.880,186.505,186.481,186.505,MT5_ORDER_FILL,3.000000,-45.233195,4.090147,11946.00,tp
15,EURJPY.i,LONG,2026.04.23 15:42:00,2026.04.23 16:53:00,OFF,UNKNOWN,0.898,2,186.515,186.605,186.548,186.557,186.557,186.467,186.473,186.473,186.605,186.607,186.605,MT5_ORDER_FILL,0.200000,-0.144750,0.202650,71.00,tp
16,EURJPY.i,SHORT,2026.04.30 10:56:00,2026.04.30 10:57:00,OFF,UNKNOWN,0.732,1,187.237,187.164,187.261,187.237,187.237,187.261,187.237,187.237,187.164,187.070,187.164,MT5_ORDER_FILL,0.100000,-0.010935,0.710771,1.00,tp
17,EURJPY.i,SHORT,2026.05.07 20:41:00,2026.05.07 23:58:00,OFF,UNKNOWN,1.608,1,184.111,183.950,184.112,184.111,184.111,184.112,184.111,184.111,183.950,,183.950,MT5_ORDER_FILL,0.100000,-0.069639,0.105702,197.00,tp
18,EURJPY.i,SHORT,2026.05.12 00:46:00,2026.05.12 08:55:00,OFF,UNKNOWN,1.758,2,185.192,185.016,185.109,185.111,185.111,185.287,185.273,185.273,185.016,184.528,185.016,MT5_ORDER_FILL,0.200000,-0.300410,0.830678,489.00,tp
19,EURJPY.i,SHORT,2026.05.14 07:12:00,2026.05.14 16:31:00,OFF,UNKNOWN,1.750,1,184.884,184.709,184.884,184.884,184.884,184.884,184.884,184.884,184.709,184.722,184.709,MT5_ORDER_FILL,0.100000,-0.072012,0.102303,559.00,tp
20,EURJPY.i,SHORT,2026.05.21 04:53:00,2026.05.21 05:34:00,OFF,UNKNOWN,0.878,1,184.715,184.627,184.719,184.715,184.715,184.719,184.715,184.715,184.627,184.637,184.627,MT5_ORDER_FILL,0.100000,-0.034149,0.100171,41.00,tp
21,EURJPY.i,SHORT,2026.05.25 14:57:00,2026.05.25 16:44:00,OFF,UNKNOWN,0.802,1,185.071,184.991,185.071,185.071,185.071,185.071,185.071,185.071,184.991,185.003,184.991,MT5_ORDER_FILL,0.100000,-0.084746,0.103440,107.00,tp
22,EURJPY.i,SHORT,2026.06.05 12:00:00,2026.06.05 14:06:00,OFF,UNKNOWN,0.656,2,186.137,186.072,186.104,186.105,186.105,186.171,186.170,186.170,186.072,186.076,186.072,MT5_ORDER_FILL,0.200000,-0.199726,0.211923,126.00,tp
23,EURJPY.i,LONG,2026.06.23 15:01:00,2026.06.23 16:35:00,OFF,UNKNOWN,0.929,3,183.973,184.066,184.062,184.066,184.066,183.880,183.875,183.875,184.066,184.060,184.066,MT5_ORDER_FILL,0.300000,-0.424295,0.312298,94.00,tp
24,EURJPY.i,LONG,2026.06.24 00:59:00,2026.06.24 09:09:00,OFF,UNKNOWN,0.949,4,183.719,183.814,183.838,183.856,183.856,183.571,183.587,183.587,183.814,183.815,183.814,MT5_ORDER_FILL,0.400000,-0.793718,0.407927,490.00,tp
25,EURJPY.i,LONG,2026.06.24 16:32:00,2026.06.24 16:56:00,OFF,UNKNOWN,0.949,1,183.420,183.515,183.415,183.420,183.420,183.415,183.420,183.420,183.515,183.509,183.515,MT5_ORDER_FILL,0.100000,-0.092759,0.102245,24.00,tp
26,EURJPY.i,SHORT,2026.06.29 17:15:00,2026.06.30 06:26:00,OFF,UNKNOWN,1.008,7,184.958,184.857,184.662,184.661,184.661,185.266,185.271,185.271,184.857,184.872,184.857,MT5_ORDER_FILL,0.700000,-2.809926,0.893300,791.00,tp
