basket_id,symbol,side,entry_time,exit_time,david_mode,david_direction_at_entry,entry_adr,fills,avg_entry,exit_price,entry_modeled_price,entry_actual_price,entry_accounting_price,last_fill_modeled_price,last_fill_actual_price,last_fill_accounting_price,exit_modeled_price,exit_actual_price,exit_accounting_price,execution_price_mode,net_adr,mae_adr,mfe_adr,duration_minutes,close_reason
1,EURNZD.i,LONG,2026.01.05 05:58:00,2026.01.05 06:13:00,WITH,UP,0.01186,1,2.03026,2.03145,2.03015,2.03026,2.03026,2.03015,2.03026,2.03026,2.03145,2.03134,2.03145,MT5_ORDER_FILL,0.100000,-0.014338,0.100363,15.00,tp
2,EURNZD.i,LONG,2026.01.15 19:30:00,2026.01.15 22:09:00,WITH,UP,0.01235,2,2.02162,2.02286,2.02212,2.02213,2.02213,2.02089,2.02111,2.02111,2.02286,2.02283,2.02286,MT5_ORDER_FILL,0.200000,-0.186220,0.204032,159.00,tp
3,EURNZD.i,LONG,2026.01.19 19:33:00,2026.01.19 20:13:00,WITH,UP,0.01108,1,2.00953,2.01064,2.00941,2.00953,2.00953,2.00941,2.00953,2.00953,2.01064,2.01065,2.01064,MT5_ORDER_FILL,0.100000,-0.063188,0.101101,40.00,tp
4,EURNZD.i,LONG,2026.01.22 01:00:00,2026.01.26 00:49:00,WITH,UP,0.01181,16,1.99153,1.99271,1.99950,2.00006,2.00006,1.98234,1.98443,1.98443,1.99271,1.99278,1.99271,MT5_ORDER_FILL,1.600000,-13.910246,1.954276,5749.00,tp
5,EURNZD.i,LONG,2026.01.28 10:40:00,2026.01.28 11:15:00,WITH,UP,0.01195,2,1.98771,1.98890,1.98813,1.98819,1.98819,1.98699,1.98722,1.98722,1.98890,1.98894,1.98890,MT5_ORDER_FILL,0.200000,-0.117952,0.214991,35.00,tp
6,EURNZD.i,LONG,2026.01.29 16:46:00,2026.01.29 16:54:00,WITH,UP,0.01382,1,1.96837,1.96975,1.96822,1.96837,1.96837,1.96822,1.96837,1.96837,1.96975,1.96937,1.96975,MT5_ORDER_FILL,0.100000,-0.084691,0.101339,8.00,tp
7,EURNZD.i,LONG,2026.02.03 00:07:00,2026.02.04 05:49:00,WITH,UP,0.01485,13,1.96010,1.96158,1.96509,1.96820,1.96820,1.95038,1.95054,1.95054,1.96158,1.96148,1.96158,MT5_ORDER_FILL,1.300000,-8.812635,1.326105,1782.00,tp
8,EURNZD.i,LONG,2026.03.09 13:02:00,2026.03.09 13:24:00,WITH,UP,0.01150,1,1.95597,1.95712,1.95583,1.95597,1.95597,1.95583,1.95597,1.95597,1.95712,1.95697,1.95712,MT5_ORDER_FILL,0.100000,-0.073919,0.100009,22.00,tp
9,EURNZD.i,LONG,2026.04.22 05:31:00,2026.04.23 03:16:00,WITH,UP,0.01206,9,1.98466,1.98587,1.98829,1.98844,1.98844,1.97879,1.98241,1.98241,1.98587,1.98579,1.98587,MT5_ORDER_FILL,0.900000,-4.404377,0.945039,1305.00,tp
10,EURNZD.i,LONG,2026.04.27 01:00:00,2026.04.27 01:03:00,WITH,UP,0.01095,1,1.99347,1.99457,1.99255,1.99347,1.99347,1.99255,1.99347,1.99347,1.99457,1.99465,1.99457,MT5_ORDER_FILL,0.100000,-0.092229,0.110492,3.00,tp
11,EURNZD.i,LONG,2026.05.04 01:01:00,2026.05.04 01:37:00,WITH,UP,0.01313,1,1.98595,1.98726,1.98564,1.98595,1.98595,1.98564,1.98595,1.98595,1.98726,1.98706,1.98726,MT5_ORDER_FILL,0.100000,-0.082223,0.100495,36.00,tp
12,EURNZD.i,LONG,2026.05.05 13:39:00,2026.05.05 14:13:00,WITH,UP,0.01388,1,1.98712,1.98851,1.98703,1.98712,1.98712,1.98703,1.98712,1.98712,1.98851,1.98848,1.98851,MT5_ORDER_FILL,0.100000,-0.033139,0.105180,34.00,tp
13,EURNZD.i,LONG,2026.05.07 15:19:00,2026.05.07 16:02:00,WITH,UP,0.01418,1,1.96849,1.96991,1.96834,1.96849,1.96849,1.96834,1.96849,1.96849,1.96991,1.96950,1.96991,MT5_ORDER_FILL,0.100000,-0.030335,0.100176,43.00,tp
14,EURNZD.i,LONG,2026.07.01 17:55:00,2026.07.02 06:13:00,WITH,UP,0.00991,4,2.00553,2.00652,2.00680,2.00692,2.00692,2.00395,2.00396,2.00396,2.00652,2.00637,2.00652,MT5_ORDER_FILL,0.400000,-1.015649,0.417971,738.00,tp
