time,symbol,event,side,price,modeled_price,actual_price,accounting_price,execution_price_mode,actual_minus_modeled_price,adr,lrmg_line,stoch,david_mode,david_direction,david_down,david_up,fills,avg_entry,open_adr,net_adr,reason
2026.01.08 15:11:00,NZDCAD.i,BUY_SIGNAL,LONG,0.79701,,,,MT5_ORDER_FILL,,0.00492,0.79831,6.7029,WITH,UP,,0.79681,0,,0.000000,0.000000,signal
2026.01.08 15:11:00,NZDCAD.i,ENTRY,LONG,0.79706,0.79701,0.79706,0.79706,MT5_ORDER_FILL,0.00005,0.00492,0.79831,,WITH,UP,,0.79681,1,0.79706,0.000000,0.000000,entry
2026.01.08 15:32:00,NZDCAD.i,GRID_ADD,LONG,0.79658,0.79657,0.79658,0.79658,MT5_ORDER_FILL,0.00001,0.00492,0.79831,,WITH,UP,,0.79675,2,0.79682,-0.097482,0.000000,grid_add
2026.01.08 16:06:00,NZDCAD.i,GRID_ADD,LONG,0.79630,0.79608,0.79630,0.79630,MT5_ORDER_FILL,0.00022,0.00492,0.79831,,WITH,UP,,0.79630,3,0.79665,-0.211210,0.000000,grid_add
2026.01.08 17:18:00,NZDCAD.i,BUY_SIGNAL,LONG,0.79692,,,,MT5_ORDER_FILL,,0.00492,0.79831,7.5082,WITH,UP,,0.79646,3,0.79665,0.000000,0.000000,signal
2026.01.08 17:20:00,NZDCAD.i,EXIT,LONG,0.79714,0.79714,0.79720,0.79714,MT5_ORDER_FILL,0.00006,0.00492,0.79831,,WITH,UP,,0.79650,3,0.79665,0.300000,0.300000,tp
2026.01.14 01:00:00,NZDCAD.i,BUY_SIGNAL,LONG,0.79694,,,,MT5_ORDER_FILL,,0.00515,0.79706,5.3805,WITH,UP,,0.79654,0,,0.000000,0.300000,signal
2026.01.14 01:00:00,NZDCAD.i,ENTRY,LONG,0.79744,0.79694,0.79744,0.79744,MT5_ORDER_FILL,0.00050,0.00515,0.79706,,WITH,UP,,0.79654,1,0.79744,0.000000,0.300000,entry
2026.01.14 01:03:00,NZDCAD.i,GRID_ADD,LONG,0.79698,0.79693,0.79698,0.79698,MT5_ORDER_FILL,0.00005,0.00515,0.79706,,WITH,UP,,0.79661,2,0.79721,-0.089338,0.300000,grid_add
2026.01.14 03:24:00,NZDCAD.i,GRID_ADD,LONG,0.79649,0.79641,0.79649,0.79649,MT5_ORDER_FILL,0.00008,0.00515,0.79706,,WITH,UP,,0.79668,3,0.79697,-0.279666,0.300000,grid_add
2026.01.14 04:32:00,NZDCAD.i,EXIT,LONG,0.79748,0.79748,0.79748,0.79748,MT5_ORDER_FILL,-0.00000,0.00515,0.79706,,WITH,UP,,0.79710,3,0.79697,0.300000,0.600000,tp
2026.01.16 09:03:00,NZDCAD.i,SELL_BLOCKED_DAVID,SHORT,0.79943,,,,MT5_ORDER_FILL,,0.00481,0.79768,93.1090,WITH,UP,,0.79938,0,,0.000000,0.600000,david_blocked
2026.01.21 10:20:00,NZDCAD.i,SELL_BLOCKED_DAVID,SHORT,0.80896,,,,MT5_ORDER_FILL,,0.00468,0.80523,92.7984,WITH,UP,,0.80912,0,,0.000000,0.600000,david_blocked
2026.01.22 07:00:00,NZDCAD.i,SELL_BLOCKED_DAVID,SHORT,0.80933,,,,MT5_ORDER_FILL,,0.00482,0.80712,91.5535,WITH,UP,,0.80960,0,,0.000000,0.600000,david_blocked
2026.02.04 06:21:00,NZDCAD.i,BUY_SIGNAL,LONG,0.82317,,,,MT5_ORDER_FILL,,0.00621,0.82409,8.5385,WITH,UP,,0.82304,0,,0.000000,0.600000,signal
