variant_id,week_open_utc,pairs_replayed,closed_price_pnl_usd,realized_commission_usd,realized_swap_usd,realized_net_usd,open_price_pnl_usd,open_swap_usd,equity_usd,balance_usd,equity_delta_usd,open_positions,long_positions,short_positions,fills_opened,target_reset_count,max_open_positions_to_date,max_long_positions_to_date,max_short_positions_to_date,max_add_depth_to_date,position_days_closed_to_date,content_hash
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,2019-04-14T23:00:00.000Z,28,-8.721917,-1.14,-0.066273,-9.92819,0,0,9990.07181,9990.07181,-9.92819,0,0,0,19,3,6,4,6,5,3.563889,D736241C364FEF1F44C69BEC5BEC06592D3DF220544D13C9333CC3BC3D7075E3
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,2019-04-21T23:00:00.000Z,28,-18.008344,-2.88,-0.462693,-21.351037,1.760007,0.001424,9980.410394,9978.648963,-9.661416,3,0,3,48,10,6,6,6,5,8.895833,F182ED32B99A8701D29B6D2F86B482215E64380000C8E97508E359575EF1D759
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,2019-04-28T23:00:00.000Z,28,-6.394907,-3.84,-0.415874,-10.650781,-9.148638,0.000667,9980.201248,9989.349219,-0.209146,4,0,4,64,18,8,6,8,5,17.115972,FBDC6111965D91CA0AC8C94D8822D1D197A7FC22C7AF25032C6B5144C688D6ED
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,2019-05-05T23:00:00.000Z,28,-10.599136,-5.46,-0.683604,-16.74274,-0.860562,-0.017767,9982.378931,9983.25726,2.177683,2,2,0,91,27,8,6,8,5,31.85625,38EF79FA0BBA6936312117C1EB95C09A83D81E1CB0F3ACB6419F19E92CF71654
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,2019-05-12T23:00:00.000Z,28,-7.419993,-6.54,-1.294033,-15.254026,-2.155411,-0.014519,9982.576044,9984.745974,0.197113,4,4,0,109,34,9,6,8,5,39.220833,0496EB7E4E037E08BEF3C340AE3076FC4BA07BB59068F45E6E399A1DEC99C24C
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,2019-05-19T23:00:00.000Z,28,7.521289,-7.5,-2.244017,-2.222728,-0.601622,0.001236,9997.176886,9997.777272,14.600842,2,0,2,125,44,9,6,8,5,49.898611,A8AF2DAA35F6F5036D332EE7478623C87CA7EAE39210E6B9B8BB9571C4FE1EEC
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,2019-05-26T23:00:00.000Z,28,14.950846,-8.16,-2.221973,4.568873,2.090006,0.000104,10006.658983,10004.568873,9.482097,1,0,1,136,51,9,6,8,5,55.372917,E129F22CBC668E3CC241D20D4A44933BA118A8736B59FEE6C5381E2B8B1274F1
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,2019-06-02T23:00:00.000Z,28,17.81834,-9.96,-2.322595,5.535745,-0.76838,-0.008215,10004.75915,10005.535745,-1.899833,1,1,0,166,64,9,6,8,5,60.706944,579EEF122644B6341EB8C095E6387E5802B891223AAC44A8294B5055AB7968BF
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,2019-06-09T23:00:00.000Z,28,24.863985,-10.5,-2.749414,11.614571,1.04811,0.000854,10012.663535,10011.614571,7.904385,1,0,1,175,67,9,6,8,5,65.802778,A996FDE5D9032F0BF96CB8D60A8ACA14EA269C0FC3A6DA6DCF6D2988D9CA7312
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,2019-06-16T23:00:00.000Z,28,31.352245,-12.18,-2.921081,16.251164,-0.09079,0.000229,10016.160603,10016.251164,3.497068,2,0,2,203,77,9,6,8,5,71.497222,AE57D9614FE13BBDA22CE40C4DD9E9656C2AFE66C12C952099C312B958C85CEC
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,2019-06-23T23:00:00.000Z,28,31.06515,-12.84,-2.915977,15.309173,0.112808,0.000083,10015.422064,10015.309173,-0.738539,1,0,1,214,84,9,6,8,5,77.5375,C73B5B912EF9262F255FC642CD2605F0C7EF02C500C96B220589133CCA05F183
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,2019-06-30T23:00:00.000Z,28,18.24203,-13.32,-3.021352,1.900678,0,0,10001.900678,10001.900678,-13.521386,0,0,0,222,85,9,6,8,5,81.329861,33DDD953F7B17ADE069F2E38116FFDE03DC5AD49ACAD1E22559FC77FF8B6940C
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,2019-07-07T23:00:00.000Z,28,22.981227,-13.62,-3.065989,6.295238,0,0,10006.295238,10006.295238,4.39456,0,0,0,227,87,9,6,8,5,81.880556,424CFE41F2E3EB8752FA91720925DDDCBB6012C8C0BA12931DC6A88E7B408AC8
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,2019-07-14T23:00:00.000Z,28,16.551883,-14.88,-3.269915,-1.598032,0,0,9998.401968,9998.401968,-7.89327,0,0,0,248,95,9,6,8,5,86.136111,B5B968464BF20970097460BB8386C8F61E1808A4072C44C999ACA938090CC8A0
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,2019-07-21T23:00:00.000Z,28,18.674678,-15.54,-3.33069,-0.196012,-0.432569,-0.000255,9999.371164,9999.803988,0.969196,1,1,0,259,97,9,6,8,5,88.434722,D2E6218FD00F5202E45B38AA17F63B772E5EBB882E891833F7D4C74AACF4D59D
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,2019-07-28T23:00:00.000Z,28,-43.819646,-19.26,-3.902116,-66.981762,-1.362069,-0.005094,9931.651075,9933.018238,-67.720089,2,2,0,321,115,12,12,8,10,94.797917,EB3CFBA3E5539ED21DA6750D96F1612749629165B6F4D520BD908919F163FB32
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,2019-08-04T23:00:00.000Z,28,-8.326708,-22.38,-4.649819,-35.356527,0,0,9964.643473,9964.643473,32.992398,0,0,0,373,140,12,12,8,10,104.770833,8636F3094DDCF3D36CBF2B78BA32A05D1878A3D2E6DFEA5B90018A5E9EFB3A7B
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,2019-08-11T23:00:00.000Z,28,10.216117,-23.34,-4.728696,-17.852579,0,0,9982.147421,9982.147421,17.503948,0,0,0,389,146,12,12,8,10,106.036111,0FBA02930244751B45416C05CEDFF7A9077F44F3BE472DCA154FE8BDDFE7B99F
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,2019-08-18T23:00:00.000Z,28,11.315221,-24,-4.797423,-17.482202,0,0,9982.517798,9982.517798,0.370377,0,0,0,400,149,12,12,8,10,107.709028,51F38C3BAF168A89C2214C3BAD11CD4A387AB23202A92530F3AD6164639475C2
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,2019-08-25T23:00:00.000Z,28,12.290258,-25.08,-4.833326,-17.623068,-0.303197,0.000389,9982.074124,9982.376932,-0.443674,1,0,1,418,156,12,12,8,10,109.945139,D162663378C3628026759E2BEC20D2CDDA589AAA2DC2933133052D55A7671479
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,2019-09-01T23:00:00.000Z,28,16.065869,-25.86,-4.904607,-14.698738,0,0,9985.301262,9985.301262,3.227138,0,0,0,431,160,12,12,8,10,114.145139,33147F590C20887BAABC4C61E57B623868304AA49627744DFCE237C82C560194
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,2019-09-08T23:00:00.000Z,28,28.801961,-27.42,-4.96156,-3.579599,-0.475094,-0.000127,9995.94518,9996.420401,10.643918,1,1,0,457,171,12,12,8,10,118.061806,5CB431EDDD987D86C8B6A2F0ED130DB972E3B45A94E74990312B26BE931D55CF
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,2019-09-15T23:00:00.000Z,28,38.87134,-28.14,-5.263336,5.468004,0,0,10005.468004,10005.468004,9.522824,0,0,0,469,175,12,12,8,10,121.522917,C0782BB44FF1B1F76608AEF87E5F41F5E9864A3974120BA8E66891D7BAF3FF85
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,2019-09-22T23:00:00.000Z,28,38.586744,-29.22,-5.545756,3.820988,0,0,10003.820988,10003.820988,-1.647016,0,0,0,487,180,12,12,8,10,125.3375,EA1FFEE00717375DFC46333DFEAD4FB38BD7008AD1E48BF450B32AB8782BB73B
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,2019-09-29T23:00:00.000Z,28,71.482057,-30.6,-5.589948,35.292109,-0.818527,-0.024708,10034.448874,10035.292109,30.627886,3,3,0,510,198,12,12,8,10,126.554167,1255089E78B68B7DC798CA2697D4ADDA984CB70E7F049FA823E1C881B1D9EB3E
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,2019-10-06T23:00:00.000Z,28,-200.344031,-34.02,-6.395023,-240.759054,-6.074362,0.002389,9753.168973,9759.240946,-281.279901,6,0,6,567,203,16,16,11,12,142.131944,26F35FB6ABA2EC955A79E27B071D8E93E6AE82481FB5CC6A102C32346E5D8CFC
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,2019-10-13T23:00:00.000Z,28,-79.926063,-37.2,-6.456788,-123.582851,0,0,9876.417149,9876.417149,123.248176,0,0,0,620,237,16,16,11,12,160.935417,5F3EFB344A62F984F2377DE85151EBD0CD059F7D0FFFCD7D2FD344FFB60D65CF
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,2019-10-20T23:00:00.000Z,28,-77.583562,-37.44,-6.470474,-121.494036,0,0,9878.505964,9878.505964,2.088815,0,0,0,624,239,16,16,11,12,161.092361,98CF58E66DCA59D56D4E881FBC398C555832E747699EB977D20DC09A341050AA
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,2019-10-27T23:00:00.000Z,28,-65.079423,-39.18,-6.476243,-110.735666,0.349631,0.000549,9889.614514,9889.264334,11.10855,2,0,2,653,251,16,16,11,12,164.745833,C86A4B3623E8A7BE6212F6443B47719C192C649238DB661E5B7251204C7A6304
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,2019-11-04T00:00:00.000Z,28,-49.891974,-40.86,-6.60991,-97.361884,-4.168644,-0.112842,9898.35663,9902.638116,8.742116,3,3,0,681,261,16,16,11,12,173.61875,EF4B53F2CCF00DE459B9EA70D279693DB5B5F5AAA105DB0A5EA7DEF785AA30CF
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,2019-11-11T00:00:00.000Z,28,-51.034819,-41.4,-7.388205,-99.823024,1.374452,0.002813,9901.554241,9900.176976,3.197611,4,0,4,690,266,16,16,11,12,182.304861,CD079E1B8725F434F2E4CAFD2ABE85CD0DBC17D18852A4EE28B036CCF52254E0
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,2019-11-18T00:00:00.000Z,28,-39.937115,-42.96,-7.484741,-90.381856,-0.110021,-0.005255,9909.502868,9909.618144,7.948627,2,1,1,716,279,16,16,11,12,196.120139,0938A400636313D110ABB6A2AF8CD7BC949B4E8C92330D6382D913CBAF7042B0
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,2019-11-25T00:00:00.000Z,28,-38.05395,-43.26,-7.756167,-89.070117,0,0,9910.929883,9910.929883,1.427015,0,0,0,721,281,16,16,11,12,202.143056,F22259A474CA9243ADCFD7B700F75285FC01A3077FC2499CFE7751B0A3BA3726
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,2019-12-02T00:00:00.000Z,28,-36.826591,-43.86,-7.874861,-88.561452,0,0,9911.438548,9911.438548,0.508665,0,0,0,731,285,16,16,11,12,203.480556,410F88F773F46323699CF9F5588E11431B2D5391D70DDE4253BDF750AB545427
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,2019-12-09T00:00:00.000Z,28,-4.060215,-47.4,-8.078153,-59.538368,-10.099059,-0.017541,9930.345032,9940.461632,18.906484,14,13,1,790,300,16,16,11,12,208.209028,43E793CDD3DBFB203F30BAE009B281E9C26E1EDFA6A11AADA6A2057FD014552A
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,2019-12-16T00:00:00.000Z,28,1.684247,-48,-11.089765,-57.405518,-0.230003,-0.012099,9942.35238,9942.594482,12.007348,2,2,0,800,302,16,16,11,12,243.688889,21CD0F26416CC53446981E10D64F6DC118F5234C2C44DA0375D63A4E520AAF7D
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,2019-12-23T00:00:00.000Z,28,1.214479,-48.3,-11.533265,-58.618786,0.011754,0.001243,9941.394211,9941.381214,-0.958169,3,0,3,805,302,16,16,11,12,248.988194,7F7C16ECBAF5C7EEC26994BFB6F72C48B2B5C612088722F3E9FE0E9A012419A6
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,2019-12-30T00:00:00.000Z,28,-0.786859,-48.96,-11.559465,-61.306324,0,0,9938.693676,9938.693676,-2.700535,0,0,0,816,307,16,16,11,12,257.491667,78E6E78195AFC9AFC4D970C94CD8F8ADA9A97FC776029F168025B8C6B3BDCEF5
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,2019-04-14T23:00:00.000Z,28,-9.90521,-0.72,-0.00051,-10.62572,0,0,9989.37428,9989.37428,-10.62572,0,0,0,12,2,6,1,6,5,2.45625,1524EC1DFF08BE89A2BCD1F0E470E0C88260B5C9567BFFBB60778391C0B0E6D7
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,2019-04-21T23:00:00.000Z,28,-17.383582,-2.64,-0.399365,-20.422947,1.760007,0.001424,9981.338484,9979.577053,-8.035796,3,0,3,44,10,6,6,6,5,8.272222,A03D85E56698A0DCEA231C48A3F45B8CAD116DB2B41F84C53DEA45C47E33FFEB
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,2019-04-28T23:00:00.000Z,28,-3.468523,-3.72,-0.351089,-7.539612,-9.148638,0.000667,9983.312417,9992.460388,1.973933,4,0,4,62,18,9,6,9,5,16.638194,B6FF5AB9E9824AEC6D0F0D972B2914CA422FD7F1F262BA1E302293EE6530FA96
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,2019-05-05T23:00:00.000Z,28,-10.008975,-5.1,-0.574,-15.682975,-2.12667,-0.018085,9982.17227,9984.317025,-1.140147,2,2,0,85,25,9,6,9,5,30.3375,21242510648867D41E69599C94802F1DB018C4954C4E1B4C9039AD2C338D1076
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,2019-05-12T23:00:00.000Z,28,-10.398827,-6,-1.191747,-17.590574,-2.155411,-0.014519,9980.239496,9982.409426,-1.932774,4,4,0,100,31,9,6,9,5,37.125694,C20BBFFE7237F60D2D117F4A1F5D4CB0FBBB050175F7EB5BA37D16A4602B06BC
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,2019-05-19T23:00:00.000Z,28,-1.666823,-6.54,-2.090216,-10.297039,-0.601622,0.001236,9989.102575,9989.702961,8.863079,2,0,2,109,36,9,6,9,5,47.2625,4837C0078E5D34DE4963C6C345F7DBC7F34B4E5DE3AEA26E24AA1675F5037AB8
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,2019-05-26T23:00:00.000Z,28,4.459829,-7.26,-2.070656,-4.870827,2.233435,0.000111,9997.362719,9995.129173,8.260144,2,0,2,121,43,9,6,9,5,52.763889,48FA0B7D981FDDC084859138C1BAD42BD22A0198571BFE2D763175148C311D07
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,2019-06-02T23:00:00.000Z,28,6.08873,-8.94,-2.090144,-4.941414,-0.76838,-0.008215,9994.281991,9995.058586,-3.080728,1,1,0,149,55,9,6,9,5,59.791667,B274D825DACB1BC8C767B3AF4B7207A82831865A28D0243AB94A25FB252BBBF5
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,2019-06-09T23:00:00.000Z,28,11.731927,-9.42,-2.524851,-0.212924,0.859318,0.000882,10000.647276,9999.787076,6.365285,1,0,1,157,58,9,6,9,5,64.550694,A44B5C67BF383B529D62EEA7B14D84BBCF4AA421412DD6F8537889C11C3665CF
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,2019-06-16T23:00:00.000Z,28,19.406857,-10.5,-2.607415,6.299442,0.605269,0.000326,10006.905037,10006.299442,6.257761,2,0,2,175,67,9,6,9,5,68.35,739B05FB1C790397AA084383EB74C6871C83C189476ABDC1D708F0953163E913
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,2019-06-23T23:00:00.000Z,28,16.014324,-11.04,-2.579026,2.395298,0.112808,0.000083,10002.508189,10002.395298,-4.396848,1,0,1,184,73,9,6,9,5,74.176389,3544EAFA8FD58A5EAE6EB081C11A9EA0F2B6FA72E230F21408F0312544026CDD
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,2019-06-30T23:00:00.000Z,28,12.651284,-11.16,-2.587606,-1.096322,0,0,9998.903678,9998.903678,-3.604511,0,0,0,186,73,9,6,9,5,76.913194,5B4CFB2E864ECAB013DA1D10C3D26412A26947FDDC03FA5353D003A563F4625C
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,2019-07-07T23:00:00.000Z,28,12.651284,-11.16,-2.587606,-1.096322,0,0,9998.903678,9998.903678,0,0,0,0,186,73,9,6,9,5,76.913194,F1719EBD3FF1D7DC8B9B9AE165B8C0FB466D17075E28BE0EEF9080B7EABB6937
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,2019-07-14T23:00:00.000Z,28,6.154677,-12.18,-2.622383,-8.647706,0,0,9991.352294,9991.352294,-7.551384,0,0,0,203,81,9,6,9,5,79.368056,F2F7CC064E1B99A8C59B8B3061C286D79249F5C317A804188E8FE4C3BD290978
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,2019-07-21T23:00:00.000Z,28,7.149601,-12.78,-2.670198,-8.300597,-0.432569,-0.000255,9991.266579,9991.699403,-0.085715,1,1,0,213,83,9,6,9,5,81.536111,6D884732847614E3465112401D9C4A673A4C9D5FB668F04E38DBD0AEBBAD7C17
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,2019-07-28T23:00:00.000Z,28,-58.021459,-16.56,-3.244171,-77.82563,-1.65006,-0.005349,9920.518961,9922.17437,-70.747618,3,3,0,276,101,12,12,9,10,87.927083,B132E5CE318BCFC854E63670CEAF75F03E6B20D4063E90B54D5A5338BC4B4C2F
