variant_id,week_open_utc,pairs_replayed,closed_price_pnl_usd,realized_commission_usd,realized_swap_usd,realized_net_usd,open_price_pnl_usd,open_swap_usd,equity_usd,balance_usd,equity_delta_usd,open_positions,long_positions,short_positions,fills_opened,target_reset_count,max_open_positions_to_date,max_long_positions_to_date,max_short_positions_to_date,max_add_depth_to_date,position_days_closed_to_date,content_hash
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-03T23:00:00.000Z,28,1229.140853,-114.6,-7.443179,1107.097674,-139.013576,-2.845398,10965.2387,11107.097674,965.2387,76,24,52,1910,1404,84,32,56,12,194.320834,4EADB1ED6611B58C7B46E78FE2CED095345D7C421AA19166EE1456B8276341A4
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-10T23:00:00.000Z,28,1900.223819,-192.84,-10.973372,1696.410447,-702.778205,-20.444608,10973.187634,11696.410447,7.948934,141,99,42,3214,2386,149,102,71,21,529.013195,8656062C2C2F7BC97ACA0C11F6C416E452462C5AD55F9FC97AEE3814BE480EB6
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-17T23:00:00.000Z,28,2500.573303,-297.96,-49.622173,2152.99113,-566.09798,-28.484921,11558.408229,12152.99113,585.220595,103,61,42,4966,3723,151,120,71,21,1128.715279,8A1D1CBC800DBDF83C04CB14AD04AA157D4D3F519019A0F51D8241B9BA3759D6
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-24T23:00:00.000Z,28,2924.700981,-385.68,-108.095897,2430.925084,-454.110588,-5.210348,11971.604148,12430.925084,413.195919,167,82,85,6428,4661,169,120,95,21,2375.947223,55461FC6FDE1699C82A76E44CC6229403963113B013EDF8CAA27BCC5715F4AA9
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-31T23:00:00.000Z,28,3865.991514,-482.58,-134.88999,3248.521524,-516.535478,-3.897537,12728.088509,13248.521524,756.484361,139,86,53,8043,5838,176,120,95,21,3076.699308,480AEABF84C4E51CACF3D58D4D2BC0111CE802164200CAA8FE2012DF81EAD415
RAW_GRID_T100_S020_GATE90_CANDIDATE_B,2026-05-03T23:00:00.000Z,28,658.182747,-53.28,-4.04853,600.854217,-29.555324,-3.09725,10568.201643,10600.854217,568.201643,31,19,12,888,679,33,25,14,11,67.013879,A5CF1919B11AE0AD564481F182CFB1E1B9DC662E8F823D55C91C73DBB7E833B8
RAW_GRID_T100_S020_GATE90_CANDIDATE_B,2026-05-10T23:00:00.000Z,28,1021.923979,-92.22,-6.798146,922.905833,-564.256691,-19.066907,10339.582235,10922.905833,-228.619408,86,73,13,1537,1156,91,73,20,21,171.866651,FCA1A9F594BAF78FC689CA1C3EAB2EC186C56FF9293785ADAD420274181F1E3B
RAW_GRID_T100_S020_GATE90_CANDIDATE_B,2026-05-17T23:00:00.000Z,28,1280.756009,-142.56,-35.441301,1102.754708,-411.623778,-29.254468,10661.876462,11102.754708,322.294227,74,52,22,2376,1780,106,95,27,21,545.738169,66CFFAF88F0FFC405FB275A1B69E632038C1690D882B59BBBE31D2938EA4E1D6
RAW_GRID_T100_S020_GATE90_CANDIDATE_B,2026-05-24T23:00:00.000Z,28,1504.712956,-184.68,-89.138018,1230.894938,-128.266349,-1.3223,11101.306289,11230.894938,439.429827,67,32,35,3078,2244,106,95,45,21,1459.8833,3F9D65E78E063CCE71C670C53ACF1333FE7BAB5FCFF3E83D575E548BF6F6E86A
RAW_GRID_T100_S020_GATE90_CANDIDATE_B,2026-05-31T23:00:00.000Z,28,1928.111221,-231.78,-98.087646,1598.243575,-404.538216,-2.58326,11191.122099,11598.243575,89.81581,90,51,39,3863,2785,106,95,47,21,1750.933292,11B283F91B913DFC683D85731348281C58799C964E6DA99B6FEC88929D259329
